"Program Area","Project County Code","Project Number","Project Name","Project Street","Project Address Line2","Project City","Project State","Project Zip","Billing Year","Amount Billed","Amount Paid","Pending Amount Due"
"Condominium Project","46","PR76430","PALAZZO III AT PELICAN PRESERVE CONDO","PALAZZO DR","","FORT MYERS","FL","33913","2026","264","264","0"
"Condominium Project","46","PR76678","PALAZZO IV AT PELICAN PRESERVE, A PHASE CONDO","10711-10751 PALAZZO WAY","","FORT MYERS","FL","33913","2022","176","176","0"
"Condominium Project","46","PR76678","PALAZZO IV AT PELICAN PRESERVE, A PHASE CONDO","10711-10751 PALAZZO WAY","","FORT MYERS","FL","33913","2023","176","176","0"
"Condominium Project","46","PR76678","PALAZZO IV AT PELICAN PRESERVE, A PHASE CONDO","10711-10751 PALAZZO WAY","","FORT MYERS","FL","33913","2024","176","176","0"
"Condominium Project","46","PR76678","PALAZZO IV AT PELICAN PRESERVE, A PHASE CONDO","10711-10751 PALAZZO WAY","","FORT MYERS","FL","33913","2025","176","176","0"
"Condominium Project","46","PR76678","PALAZZO IV AT PELICAN PRESERVE, A PHASE CONDO","10711-10751 PALAZZO WAY","","FORT MYERS","FL","33913","2026","176","176","0"
"Condominium Project","23","PR74785","PALAZZO LEONARDO CONDO","676 SW 2ND STREET","","MIAMI","FL","33143","2022","72","0","125.59"
"Condominium Project","23","PR74785","PALAZZO LEONARDO CONDO","676 SW 2ND STREET","","MIAMI","FL","33143","2023","72","0","127.61"
"Condominium Project","23","PR74785","PALAZZO LEONARDO CONDO","676 SW 2ND STREET","","MIAMI","FL","33143","2024","72","0","128.77"
"Condominium Project","23","PR74785","PALAZZO LEONARDO CONDO","676 SW 2ND STREET","","MIAMI","FL","33143","2025","72","0","129.69"
"Condominium Project","23","PR74785","PALAZZO LEONARDO CONDO","676 SW 2ND STREET","","MIAMI","FL","33143","2026","72","583.66","-511.66"
"Condominium Project","16","PR69529","PALAZZO MARE CONDO","3040 N OCEAN BLVD","","FORT LAUDERDALE","FL","33308","2022","80","0","96.8"
"Condominium Project","16","PR69529","PALAZZO MARE CONDO","3040 N OCEAN BLVD","","FORT LAUDERDALE","FL","33308","2023","80","0","106.48"
"Condominium Project","16","PR69529","PALAZZO MARE CONDO","3040 N OCEAN BLVD","","FORT LAUDERDALE","FL","33308","2024","80","0","117.13"
"Condominium Project","16","PR69529","PALAZZO MARE CONDO","3040 N OCEAN BLVD","","FORT LAUDERDALE","FL","33308","2025","","",""
